idx,TERMINAL,RAIL_CO,FRA_RRS_TO_MATCH,FRANODEID,FRA_RRS_AT_NODE,FRA_YARD_NAME,DISTANCE_TO_NODE,DISCARD,IS_CLOSEST_NODE,CLOSEST_FRANODEID,CLOSEST_DISTANCE,CLOSEST_FRA_RRS,LAT_AT_NODE,LON_AT_NODE
106,"Cocoa, FL",FEC,FEC,455843.0,"SCXF,FEC,BLF",COCOA-ROCKLEDGE,0.03,,Y,455843,0.03,"{'SCXF', 'FEC', 'BLF'}",28.34911784700006,-80.73129158099994
107,"Columbus, OH",NS,NS,442177.0,NS,RICKENBACKER INTERMODAL,0.27,,Y,442177,0.27,{'NS'},39.790866116000075,-82.95643550013436
108,"Columbus, OH - Buckeye Yard",CSX,CSXT,440877.0,"CSXT,NS",BUCKEYE,0.61,,,440882,0.03,{'NS'},40.00988413700003,-83.12679448199998
109,"Commerce, CA",BNSF,BNSF,322798.0,BNSF,COMMERCE,0.02,,Y,322798,0.02,{'BNSF'},33.99275845300008,-118.15106147499995
110,"Council Bluffs, IA","UP, IAIS","UP, IAIS",366887.0,"IAIS,BNSF,UP",CBGR (WAB),1.16,,,366968,0.07,{'IAIS'},41.24541331700004,-95.85056100099996
111,"Croxton, NJ",NS,NS,489621.0,"NS,CSAO",CROXTON,0.03,,Y,489621,0.03,"{'NS', 'CSAO'}",40.75569313900007,-74.06597347199994
112,"Dallas, TX - Mesquite",UP,UP,362572.0,UP,DALLAS TOFC,0.26,,Y,362572,0.26,{'UP'},32.778192165000064,-96.65518219199998
113,"Dallas, TX - Wilmer (Dallas Intermodal Terminal)",UP,UP,362253.0,UP,DALLAS INTERMODAL TERM,0.34,,Y,362253,0.34,{'UP'},32.61076820200003,-96.69460824299995
114,"Decatur, IL - ADM Intermodal Ramp (Midwest Inland Port)","NS, CSX, CN",NS,404600.0,NS,DECATUR (NS),0.2,,Y,404600,0.2,{'NS'},39.87367511800005,-88.91246109999997
115,"Denver, CO",UP,UP,340922.0,UP,PULLMAN,0.07,,Y,340922,0.07,{'UP'},39.773038179000025,-104.96286756899997
116,"Denver, CO - Irondale",BNSF,BNSF,340822.0,BNSF,,0.08,,Y,340822,0.08,{'BNSF'},39.795760434000044,-104.99543529399995
117,"Detroit, MI",CSX,CSXT,440918.0,"CSXT,CSAO",LIVERNOIS,0.14,,Y,440918,0.14,"{'CSXT', 'CSAO'}",42.31777005200007,-83.12183557099996
118,"Detroit, MI - Delray",NS,NS,440921.0,"CN,NS,CSXT",PX,0.13,,Y,440921,0.13,"{'CN', 'NS', 'CSXT'}",42.29583915000006,-83.12155208699994
119,"Detroit, MI - Detroit Intermodal Terminal",CPKC,CPKC,,,,,,,440039,0.05,{'CSXT'},42.378626,-83.230993
120,"Detroit, MI - Livernois",NS,NS,440900.0,"NS,CSAO,CSXT",LIVERNOIS,0.36,,,440965,0.03,"{'CSXT', 'CSAO'}",42.32118899100004,-83.12375331499999
121,"Detroit, MI - Moterm Intermodal Facility (MOT)",CN,CN,441000.0,CN,"DETROIT ITNERMODAL TERM,DETROIT INTERMODAL TERM",0.28,,Y,441000,0.28,{'CN'},42.44853413800007,-83.11422447399997
122,"Donna, TX - Rio Valley",UP,UP,353917.0,"RVSC,UP",,0.39,,Y,353917,0.39,"{'RVSC', 'UP'}",26.176900597000042,-98.08474194899998
123,CN Duluth Intermodal Terminal,CN,CN,386375.0,"LSM,BNSF,CPKC,CN",RICE'S POINT,1.2,,,386631,0.1,{'CPKC'},46.766057990000036,-92.12124838799997
124,"East St. Louis, IL",CSX,CSXT,396890.0,CSXT,ROSE LAKE,0.03,,Y,396890,0.03,{'CSXT'},38.64140602100008,-90.10631955799994
125,"El Paso, TX",BNSF,BNSF,338958.0,BNSF,EL PASO,0.01,,Y,338958,0.01,{'BNSF'},31.752142253000045,-106.48910105299996
126,"Elizabeth Marine Terminal, NJ - ExpressRail (Port Elizabeth)","CSX, NS","CSXT, NS",488259.0,"CSXT,NS,CSAO",PORT ELIZABETH EXPRESSRAIL,0.18,,Y,488259,0.18,"{'CSXT', 'NS', 'CSAO'}",40.675308855000026,-74.15566194499996
127,"Erail, NJ",NS,NS,488057.0,"NS,CSAO",ERAIL,0.08,,Y,488057,0.08,"{'NS', 'CSAO'}",40.65942767000007,-74.17751955899996
128,"Fairburn, GA","CSX, BNSF",CSXT,431264.0,CSXT,FAIRBORN INTERMODAL,0.15,,Y,431264,0.15,{'CSXT'},33.54598945400005,-84.60065122099996
129,"Fort Lauderdale, FL","CSX, FEC",FEC,460114.0,FEC,FORT LAUDERDALE,0.06,,Y,460114,0.06,{'FEC'},26.085189350000064,-80.14033534299995
130,"Fort Lauderdale, FL - Intermodal Container Transfer Facility (ICTF)",FEC,FEC,460194.0,FEC,PORT EVERGLADES ICTF,0.11,,Y,460194,0.11,{'FEC'},26.076522751000027,-80.12744455099994
